mode,N_or_effectiveN,cores,walltime_sec,speedup
uniform_mpi,768,1,69.6087915,1.0
uniform_mpi,768,2,38.77252259666667,1.7953124232877322
uniform_mpi,768,4,27.357476039999998,2.5444156982253543
uniform_mpi,768,8,28.418874416666668,2.449385942575435
uniform_mpi,768,16,34.52902176333333,2.0159502918185237
uniform_mpi,1536,1,572.8652534333334,1.0
uniform_mpi,1536,2,345.5214263666667,1.657973166692736
uniform_mpi,1536,4,255.2357784333333,2.244455134580451
uniform_mpi,1536,8,218.98141956666666,2.6160450259522148
uniform_mpi,1536,16,206.10157866666668,2.779528702008842
uniform_mpi,3072,1,4620.244827333333,1.0
uniform_mpi,3072,2,2566.799284666667,1.8000023823184652
uniform_mpi,3072,4,1798.5292383333333,2.5689017052704886
uniform_mpi,3072,8,1463.2012700000002,3.1576276771092004
uniform_mpi,3072,16,1522.264132,3.035113769161141
amr_mpi_high,3072,1,315.0416343333333,1.0
amr_mpi_high,3072,2,181.84316736666668,1.732490909037493
amr_mpi_high,3072,4,138.62633013333334,2.2725959349159752
amr_mpi_high,3072,8,140.39505556666666,2.2439653096168737
amr_mpi_high,3072,16,166.56643643333334,1.8913872511130163
