mode,N_or_effectiveN,cores,walltime_sec,efficiency
uniform_mpi,768,1,69.6087915,1.0
uniform_mpi,768,2,38.77252259666667,0.8976562116438661
uniform_mpi,768,4,27.357476039999998,0.6361039245563386
uniform_mpi,768,8,28.418874416666668,0.30617324282192937
uniform_mpi,768,16,34.52902176333333,0.12599689323865773
uniform_mpi,1536,1,572.8652534333334,1.0
uniform_mpi,1536,2,345.5214263666667,0.828986583346368
uniform_mpi,1536,4,255.2357784333333,0.5611137836451128
uniform_mpi,1536,8,218.98141956666666,0.32700562824402685
uniform_mpi,1536,16,206.10157866666668,0.17372054387555264
uniform_mpi,3072,1,4620.244827333333,1.0
uniform_mpi,3072,2,2566.799284666667,0.9000011911592326
uniform_mpi,3072,4,1798.5292383333333,0.6422254263176221
uniform_mpi,3072,8,1463.2012700000002,0.39470345963865006
uniform_mpi,3072,16,1522.264132,0.1896946105725713
amr_mpi_high,3072,1,315.0416343333333,1.0
amr_mpi_high,3072,2,181.84316736666668,0.8662454545187465
amr_mpi_high,3072,4,138.62633013333334,0.5681489837289938
amr_mpi_high,3072,8,140.39505556666666,0.2804956637021092
amr_mpi_high,3072,16,166.56643643333334,0.11821170319456352
